# step       rmse_trn    rmse_f_trn   lr      
# If there is no available reference data, rmse_*_{val,trn} will print nan
  37000      1.22e-04      1.22e-04    1.8e-05
  37100      1.21e-04      1.21e-04    1.8e-05
  37200      1.21e-04      1.21e-04    1.8e-05
  37300      1.21e-04      1.21e-04    1.8e-05
  37400      1.25e-04      1.25e-04    1.8e-05
  37500      1.35e-04      1.35e-04    1.8e-05
  37600      1.23e-04      1.23e-04    1.8e-05
  37700      1.91e-04      1.91e-04    1.8e-05
  37800      1.22e-04      1.22e-04    1.8e-05
  37900      1.30e-04      1.30e-04    1.8e-05
  38000      1.22e-04      1.22e-04    1.8e-05
  38100      1.21e-04      1.21e-04    1.8e-05
  38200      1.22e-04      1.22e-04    1.8e-05
  38300      1.55e-04      1.55e-04    1.8e-05
  38400      1.23e-04      1.23e-04    1.8e-05
  38500      1.29e-04      1.29e-04    1.8e-05
  38600      1.21e-04      1.21e-04    1.8e-05
  38700      1.28e-04      1.28e-04    1.8e-05
  38800      1.25e-04      1.25e-04    1.8e-05
  38900      1.26e-04      1.26e-04    1.8e-05
  39000      1.21e-04      1.21e-04    1.8e-05
  39100      1.21e-04      1.21e-04    1.8e-05
  39200      1.21e-04      1.21e-04    1.8e-05
  39300      1.21e-04      1.21e-04    1.8e-05
  39400      1.23e-04      1.23e-04    1.8e-05
  39500      1.65e-04      1.65e-04    1.8e-05
  39600      1.21e-04      1.21e-04    1.8e-05
  39700      1.44e-04      1.44e-04    1.8e-05
  39800      1.21e-04      1.21e-04    1.8e-05
  39900      1.21e-04      1.21e-04    1.8e-05
  40000      1.21e-04      1.21e-04    1.0e-05
  40100      1.21e-04      1.21e-04    1.0e-05
  40200      1.21e-04      1.21e-04    1.0e-05
  40300      1.21e-04      1.21e-04    1.0e-05
  40400      1.21e-04      1.21e-04    1.0e-05
  40500      1.21e-04      1.21e-04    1.0e-05
  40600      1.21e-04      1.21e-04    1.0e-05
  40700      1.21e-04      1.21e-04    1.0e-05
  40800      1.21e-04      1.21e-04    1.0e-05
  40900      1.21e-04      1.21e-04    1.0e-05
  41000      1.21e-04      1.21e-04    1.0e-05
  41100      1.21e-04      1.21e-04    1.0e-05
  41200      1.21e-04      1.21e-04    1.0e-05
  41300      1.21e-04      1.21e-04    1.0e-05
  41400      1.21e-04      1.21e-04    1.0e-05
  41500      1.21e-04      1.21e-04    1.0e-05
  41600      1.21e-04      1.21e-04    1.0e-05
  41700      1.21e-04      1.21e-04    1.0e-05
  41800      1.21e-04      1.21e-04    1.0e-05
  41900      1.21e-04      1.21e-04    1.0e-05
  42000      1.21e-04      1.21e-04    1.0e-05
  42100      1.22e-04      1.22e-04    1.0e-05
  42200      1.21e-04      1.21e-04    1.0e-05
  42300      1.22e-04      1.22e-04    1.0e-05
  42400      1.21e-04      1.21e-04    1.0e-05
  42500      1.24e-04      1.24e-04    1.0e-05
  42600      1.21e-04      1.21e-04    1.0e-05
  42700      1.21e-04      1.21e-04    1.0e-05
  42800      1.21e-04      1.21e-04    1.0e-05
  42900      1.21e-04      1.21e-04    1.0e-05
  43000      1.21e-04      1.21e-04    1.0e-05
  43100      1.21e-04      1.21e-04    1.0e-05
  43200      1.43e-04      1.43e-04    1.0e-05
  43300      1.21e-04      1.21e-04    1.0e-05
  43400      1.21e-04      1.21e-04    1.0e-05
  43500      1.21e-04      1.21e-04    1.0e-05
  43600      1.21e-04      1.21e-04    1.0e-05
  43700      1.21e-04      1.21e-04    1.0e-05
  43800      1.21e-04      1.21e-04    1.0e-05
  43900      1.21e-04      1.21e-04    1.0e-05
  44000      1.21e-04      1.21e-04    1.0e-05
  44100      1.21e-04      1.21e-04    1.0e-05
  44200      1.21e-04      1.21e-04    1.0e-05
  44300      1.21e-04      1.21e-04    1.0e-05
  44400      1.21e-04      1.21e-04    1.0e-05
  44500      1.25e-04      1.25e-04    1.0e-05
  44600      1.21e-04      1.21e-04    1.0e-05
  44700      1.21e-04      1.21e-04    1.0e-05
  44800      1.21e-04      1.21e-04    1.0e-05
  44900      1.21e-04      1.21e-04    1.0e-05
  45000      1.21e-04      1.21e-04    5.6e-06
  45100      1.21e-04      1.21e-04    5.6e-06
  45200      1.21e-04      1.21e-04    5.6e-06
  45300      1.21e-04      1.21e-04    5.6e-06
  45400      1.21e-04      1.21e-04    5.6e-06
  45500      1.21e-04      1.21e-04    5.6e-06
  45600      1.21e-04      1.21e-04    5.6e-06
  45700      1.21e-04      1.21e-04    5.6e-06
  45800      1.21e-04      1.21e-04    5.6e-06
  45900      1.21e-04      1.21e-04    5.6e-06
  46000      1.21e-04      1.21e-04    5.6e-06
  46100      1.21e-04      1.21e-04    5.6e-06
  46200      1.21e-04      1.21e-04    5.6e-06
  46300      1.21e-04      1.21e-04    5.6e-06
  46400      1.21e-04      1.21e-04    5.6e-06
  46500      1.21e-04      1.21e-04    5.6e-06
  46600      1.21e-04      1.21e-04    5.6e-06
  46700      1.21e-04      1.21e-04    5.6e-06
  46800      1.21e-04      1.21e-04    5.6e-06
  46900      1.21e-04      1.21e-04    5.6e-06
  47000      1.21e-04      1.21e-04    5.6e-06
  47100      1.21e-04      1.21e-04    5.6e-06
  47200      1.21e-04      1.21e-04    5.6e-06
  47300      1.21e-04      1.21e-04    5.6e-06
  47400      1.21e-04      1.21e-04    5.6e-06
  47500      1.21e-04      1.21e-04    5.6e-06
  47600      1.21e-04      1.21e-04    5.6e-06
  47700      1.21e-04      1.21e-04    5.6e-06
  47800      1.21e-04      1.21e-04    5.6e-06
  47900      1.21e-04      1.21e-04    5.6e-06
  48000      1.22e-04      1.22e-04    5.6e-06
  48100      1.22e-04      1.22e-04    5.6e-06
  48200      1.21e-04      1.21e-04    5.6e-06
  48300      1.21e-04      1.21e-04    5.6e-06
  48400      1.21e-04      1.21e-04    5.6e-06
  48500      1.21e-04      1.21e-04    5.6e-06
  48600      1.21e-04      1.21e-04    5.6e-06
  48700      1.21e-04      1.21e-04    5.6e-06
  48800      1.21e-04      1.21e-04    5.6e-06
  48900      1.21e-04      1.21e-04    5.6e-06
  49000      1.21e-04      1.21e-04    5.6e-06
  49100      1.21e-04      1.21e-04    5.6e-06
  49200      1.21e-04      1.21e-04    5.6e-06
  49300      1.21e-04      1.21e-04    5.6e-06
  49400      1.21e-04      1.21e-04    5.6e-06
  49500      1.21e-04      1.21e-04    5.6e-06
  49600      1.21e-04      1.21e-04    5.6e-06
  49700      1.21e-04      1.21e-04    5.6e-06
  49800      1.21e-04      1.21e-04    5.6e-06
  49900      1.24e-04      1.24e-04    5.6e-06
  50000      1.21e-04      1.21e-04    3.2e-06
  50100      1.21e-04      1.21e-04    3.2e-06
  50200      1.21e-04      1.21e-04    3.2e-06
  50300      1.21e-04      1.21e-04    3.2e-06
  50400      1.21e-04      1.21e-04    3.2e-06
  50500      1.21e-04      1.21e-04    3.2e-06
  50600      1.21e-04      1.21e-04    3.2e-06
  50700      1.21e-04      1.21e-04    3.2e-06
  50800      1.21e-04      1.21e-04    3.2e-06
  50900      1.21e-04      1.21e-04    3.2e-06
  51000      1.21e-04      1.21e-04    3.2e-06
  51100      1.21e-04      1.21e-04    3.2e-06
  51200      1.21e-04      1.21e-04    3.2e-06
  51300      1.21e-04      1.21e-04    3.2e-06
  51400      1.21e-04      1.21e-04    3.2e-06
  51500      1.21e-04      1.21e-04    3.2e-06
  51600      1.21e-04      1.21e-04    3.2e-06
  51700      1.21e-04      1.21e-04    3.2e-06
  51800      1.21e-04      1.21e-04    3.2e-06
  51900      1.21e-04      1.21e-04    3.2e-06
  52000      1.21e-04      1.21e-04    3.2e-06
  52100      1.21e-04      1.21e-04    3.2e-06
  52200      1.21e-04      1.21e-04    3.2e-06
  52300      1.21e-04      1.21e-04    3.2e-06
  52400      1.21e-04      1.21e-04    3.2e-06
  52500      1.21e-04      1.21e-04    3.2e-06
  52600      1.21e-04      1.21e-04    3.2e-06
